Instance: A-n32-k5.vrp | Best cost: 807 | Avg cost: 887.09
Instance: A-n33-k5.vrp | Best cost: 678 | Avg cost: 730.92
Instance: A-n33-k6.vrp | Best cost: 750 | Avg cost: 819.92
Instance: A-n34-k5.vrp | Best cost: 788 | Avg cost: 866.46
Instance: A-n36-k5.vrp | Best cost: 824 | Avg cost: 907.1
Instance: A-n37-k5.vrp | Best cost: 694 | Avg cost: 784.86
Instance: A-n37-k6.vrp | Best cost: 1014 | Avg cost: 1121.13
Instance: A-n38-k5.vrp | Best cost: 801 | Avg cost: 915.7
Instance: A-n39-k5.vrp | Best cost: 931 | Avg cost: 1025.53
Instance: A-n39-k6.vrp | Best cost: 878 | Avg cost: 982.09
Instance: A-n44-k6.vrp | Best cost: 1066 | Avg cost: 1205.9
Instance: A-n45-k6.vrp | Best cost: 1078 | Avg cost: 1375.16
Instance: A-n45-k7.vrp | Best cost: 1286 | Avg cost: 1378.95
Instance: A-n46-k7.vrp | Best cost: 1017 | Avg cost: 1152.84
Instance: A-n48-k7.vrp | Best cost: 1225 | Avg cost: 1362.28
Instance: A-n53-k7.vrp | Best cost: 1271 | Avg cost: 1467.06
Instance: A-n54-k7.vrp | Best cost: 1438 | Avg cost: 1631.66
Instance: A-n55-k9.vrp | Best cost: 1305 | Avg cost: 1530.7
Instance: A-n60-k9.vrp | Best cost: 1648 | Avg cost: 1884.26
Instance: A-n61-k9.vrp | Best cost: 1320 | Avg cost: 1643.89
Instance: A-n62-k8.vrp | Best cost: 1652 | Avg cost: 1872.54
Instance: A-n63-k10.vrp | Best cost: 1761 | Avg cost: 1944.48
Instance: A-n63-k9.vrp | Best cost: 2038 | Avg cost: 2467.19
Instance: A-n64-k9.vrp | Best cost: 1816 | Avg cost: 2035.92
Instance: A-n65-k9.vrp | Best cost: 1617 | Avg cost: 2134.12
Instance: A-n69-k9.vrp | Best cost: 1654 | Avg cost: 1906.46
Instance: A-n80-k10.vrp | Best cost: 2569 | Avg cost: 2878.97
